175869 91/08/29  0.708 0.906 3.618 66.001-76.120 0.397
178175 91/08/26  0.328 0.725 3.708 61.057-77.185 1.272
183656 91/08/28 -0.405 0.875 6.805 62.930-76.749 0.997
183656 92/09/07 -0.570 0.877 6.366 63.879-76.256 0.944
183914 92/09/06  0.054 0.933 4.758 66.825-74.902 0.321
184279 91/08/27  0.319 0.568 2.116 61.444-77.138 1.592
185037 92/09/05 -0.091 0.949 6.191 65.687-75.985 0.316
187811 92/09/06 -0.157 0.831 5.992 60.827-76.306 1.081
189687 92/09/05  0.299 0.806 5.583 60.632-76.999 1.224
191610 92/09/05  0.043 0.847 7.464 60.229-76.773 1.228
192044 92/09/06  0.321 0.921 5.417 66.228-75.619 0.422
193911 92/09/07  0.525 0.896 3.705 66.791-75.965 0.411
198183 92/09/07 -0.221 0.823 3.379 64.962-75.568 0.678
200120 92/09/03  0.977 0.915 8.584 61.512-78.180 0.754
201733 99/09/16  0.411 0.857 8.319 59.270-77.526 1.225
201733 99/09/16  0.411 0.857 8.319 59.211-71.353 1.240
202904 92/09/03  0.044 0.816 4.848 60.408-77.890 1.049
203467 92/09/03  0.293 0.806 4.535 61.722-77.507 0.988
203467 94/08/09  0.353 0.805 4.430 62.462-78.390 0.983
205637 91/08/26 -0.467 0.766 5.877 60.837-76.821 1.485
205637 91/08/31  0.391 0.780 6.025 60.282-75.946 1.463
205637 96/09/21  0.117 0.764 7.349 58.800-76.820 1.882
205637 96/09/21  0.117 0.764 7.349 58.741-71.117 2.134
208057 91/08/28  0.242 0.727 3.499 62.538-77.064 1.205
208682 92/09/07  0.086 0.842 7.580 61.449-76.639 1.204
208682 92/09/07  0.086 0.842 7.580 61.420-71.086 1.308
209014 91/08/26 -1.331 0.922 6.494 64.850-76.045 0.476
209014 91/08/29 -0.529 0.928 6.207 64.029-75.708 0.421
209409 91/08/27 -0.995 0.904 6.260 61.276-77.117 0.607
209409 91/08/30 -0.755 0.907 6.530 64.951-77.599 0.595
209522 91/08/27  0.076 0.838 6.613 61.760-76.807 1.157
210129 91/08/28 -0.599 0.834 3.205 65.902-73.900 0.584
212076 91/08/27  0.582 0.793 3.674 62.265-77.284 0.952
212076 91/08/31  0.066 0.762 3.179 65.061-76.894 0.864
212076 92/09/03 -0.147 0.744 2.879 62.011-77.522 1.097
212076 92/09/06 -0.103 0.750 2.879 63.082-77.654 1.033
212076 96/01/30  0.441 0.735 3.057 62.269-78.261 1.153
212076 96/09/21  0.353 0.751 3.616 64.033-79.260 1.256
212076 97/09/13  0.794 0.746 4.086 61.798-78.496 1.303
212571 91/08/26 -0.167 0.836 5.327 60.737-75.807 1.014
214168 92/09/06 -0.867 0.844 7.538 60.446-76.964 1.254
214168 92/09/06 -0.867 0.844 7.538 60.387-70.133 1.138
214748 91/08/26  0.157 0.921 4.856 66.713-76.249 0.363
214748 91/08/29 -0.073 0.921 4.795 67.397-75.663 0.360
217050 92/09/05  0.006 0.790 6.585 63.268-77.640 1.451
217050 96/01/30  0.088 0.794 6.201 62.151-77.203 1.349
217891 91/08/26  0.335 0.795 2.674 63.490-78.240 0.725
224544 99/09/28  0.088 0.875 6.673 60.446-76.615 0.867
224559 92/09/04  0.046 0.877 7.509 59.827-77.023 0.968
